成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260427,14:33:25,300706,阿石创,卖出,-100,0102000073122770,40.160,4016.000,0.00,4008.990,5.000,2.010,0.000,56833.200,21044,深圳Ａ股,深圳Ａ股,
20260427,13:00:40,300017,网宿科技,买入,300,0104000050182242,16.920,5076.000,300.00,-5081.000,5.000,0.000,0.000,52824.210,14899,深圳Ａ股,深圳Ａ股,
20260424,09:34:22,300017,网宿科技,卖出,-300,0104000007588045,18.247,5474.000,0.00,5466.270,5.000,2.730,0.000,57905.210,3198,深圳Ａ股,深圳Ａ股,
20260424,09:32:49,603228,景旺电子,卖出,-100,4536984,71.220,7122.000,0.00,7113.370,5.000,3.560,0.070,52438.940,2578,上海Ａ股,上海Ａ股,
20260423,10:07:15,603228,景旺电子,买入,100,28306398,69.240,6924.000,100.00,-6929.070,5.000,0.000,0.070,45325.570,10737,上海Ａ股,上海Ａ股,
20260422,14:50:57,300706,阿石创,买入,100,0101000078104792,39.810,3981.000,100.00,-3986.000,5.000,0.000,0.000,52254.640,22757,深圳Ａ股,深圳Ａ股,
20260422,14:48:09,603533,掌阅科技,买入,100,62946803,27.110,2711.000,100.00,-2716.030,5.000,0.000,0.030,56240.640,22479,上海Ａ股,上海Ａ股,
20260422,14:41:03,002549,凯美特气,卖出,-300,0102000073036384,19.320,5796.000,0.00,5788.100,5.000,2.900,0.000,58956.670,21881,深圳Ａ股,深圳Ａ股,
20260422,09:49:59,003036,泰坦股份,卖出,-100,0103000018135018,28.880,2888.000,0.00,2881.560,5.000,1.440,0.000,53168.570,6504,深圳Ａ股,深圳Ａ股,
20260421,14:13:04,600392,盛和资源,卖出,-200,54461998,27.330,5466.000,0.00,5458.220,5.000,2.730,0.050,50287.010,19268,上海Ａ股,上海Ａ股,
20260420,15:00:00,002716,湖南白银,买入,400,0101000080763822,12.320,4928.000,400.00,-4933.000,5.000,0.000,0.000,44828.790,24659,深圳Ａ股,深圳Ａ股,
20260420,13:10:14,300179,四方达,卖出,-200,0102000050566880,25.975,5195.000,0.00,5187.400,5.000,2.600,0.000,49761.790,17462,深圳Ａ股,深圳Ａ股,
20260420,09:36:28,600410,华胜天成,卖出,-200,7453190,29.280,5856.000,0.00,5848.010,5.000,2.930,0.060,44574.390,4326,上海Ａ股,上海Ａ股,
20260417,13:12:00,300827,上能电气,买入,300,0102000052549833,37.520,11256.000,300.00,-11261.000,5.000,0.000,0.000,38726.380,15974,深圳Ａ股,深圳Ａ股,
20260416,14:55:54,003036,泰坦股份,买入,100,0104000076964402,28.960,2896.000,100.00,-2901.000,5.000,0.000,0.000,69987.380,22720,深圳Ａ股,深圳Ａ股,
20260416,14:55:25,600392,盛和资源,买入,200,60787749,25.410,5082.000,200.00,-5087.050,5.000,0.000,0.050,72888.380,22650,上海Ａ股,上海Ａ股,
20260416,13:43:11,000796,凯撒旅业,买入,800,0105000056748295,5.510,4408.000,800.00,-4413.000,5.000,0.000,0.000,77975.430,17632,深圳Ａ股,深圳Ａ股,
20260416,13:34:21,300144,宋城演艺,卖出,-400,0103000054660726,7.960,3184.000,0.00,3177.410,5.000,1.590,0.000,82388.430,17580,深圳Ａ股,深圳Ａ股,
20260415,14:11:42,300179,四方达,买入,200,0103000061957594,23.260,4652.000,200.00,-4657.000,5.000,0.000,0.000,79211.020,6297,深圳Ａ股,深圳Ａ股,
20260414,13:25:53,002792,通宇通讯,卖出,-100,0104000051745842,47.600,4760.000,0.00,4752.620,5.000,2.380,0.000,83868.020,16995,深圳Ａ股,深圳Ａ股,
20260413,14:10:49,300164,通源石油,卖出,-300,0105000059420836,14.980,4494.000,0.00,4486.750,5.000,2.250,0.000,79115.400,17035,深圳Ａ股,深圳Ａ股,
20260410,13:25:44,300164,通源石油,买入,300,0103000052760630,14.670,4401.000,300.00,-4406.000,5.000,0.000,0.000,74628.650,17502,深圳Ａ股,深圳Ａ股,
20260410,10:13:59,300017,网宿科技,买入,300,0104000026998843,18.070,5421.000,300.00,-5426.000,5.000,0.000,0.000,79034.650,10106,深圳Ａ股,深圳Ａ股,
20260409,13:56:48,300570,太辰光,卖出,-100,0101000057319643,129.590,12959.000,0.00,12947.520,5.000,6.480,0.000,84460.650,18128,深圳Ａ股,深圳Ａ股,
20260409,11:07:18,600410,华胜天成,买入,200,35468272,27.450,5490.000,200.00,-5495.050,5.000,0.000,0.050,71513.130,12681,上海Ａ股,上海Ａ股,
20260409,10:46:32,002549,凯美特气,买入,300,0105000037824891,19.240,5772.000,300.00,-5777.000,5.000,0.000,0.000,77008.180,8231,深圳Ａ股,深圳Ａ股,
20260409,10:39:56,300568,星源材质,卖出,-200,0104000035525015,15.540,3108.000,0.00,3101.450,5.000,1.550,0.000,82785.180,12046,深圳Ａ股,深圳Ａ股,
20260409,10:05:47,920050,爱舍伦,买入,100,00721948,31.640,3164.000,200.00,-3164.540,0.510,0.000,0.030,79683.730,5745,三板A/京A,三板A/京A,
20260408,09:36:42,002272,川润股份,卖出,-300,0102000010813786,18.820,5646.000,0.00,5638.180,5.000,2.820,0.000,82848.270,4835,深圳Ａ股,深圳Ａ股,
20260407,14:24:22,002792,通宇通讯,买入,100,0103000054219163,46.800,4680.000,100.00,-4685.000,5.000,0.000,0.000,77210.090,16297,深圳Ａ股,深圳Ａ股,
20260403,10:41:00,300303,聚飞光电,卖出,-300,0103000031085942,9.240,2772.000,0.00,2765.610,5.000,1.390,0.000,81895.090,10886,深圳Ａ股,深圳Ａ股,
20260402,10:19:59,002272,川润股份,买入,300,0101000028088163,17.180,5154.000,300.00,-5159.000,5.000,0.000,0.000,79129.480,626,深圳Ａ股,深圳Ａ股,
20260401,15:00:00,300144,宋城演艺,买入,400,0103000076589989,7.910,3164.000,400.00,-3169.000,5.000,0.000,0.000,84288.480,21688,深圳Ａ股,深圳Ａ股,
20260401,11:17:59,002317,众生药业,卖出,-400,0105000043238093,19.000,7600.000,400.00,7591.200,5.000,3.800,0.000,87457.480,13919,深圳Ａ股,深圳Ａ股,
20260401,09:47:44,300568,星源材质,买入,200,0102000016347842,15.070,3014.000,200.00,-3019.000,5.000,0.000,0.000,79866.280,6519,深圳Ａ股,深圳Ａ股,
20260401,09:44:21,300303,聚飞光电,买入,300,0103000015824624,9.070,2721.000,300.00,-2726.000,5.000,0.000,0.000,82885.280,5940,深圳Ａ股,深圳Ａ股,
20260331,10:50:09,600207,安彩高科,卖出,-500,32861864,6.870,3435.000,0.00,3428.250,5.000,1.720,0.030,85611.280,12428,上海Ａ股,上海Ａ股,
20260331,09:30:00,300570,太辰光,买入,100,0105000000838515,111.400,11140.000,100.00,-11145.000,5.000,0.000,0.000,82183.030,838,深圳Ａ股,深圳Ａ股,
20260327,13:22:53,600207,安彩高科,买入,500,41260322,6.600,3300.000,500.00,-3305.030,5.000,0.000,0.030,93328.030,17339,上海Ａ股,上海Ａ股,
20260325,13:43:42,300738,奥飞数据,卖出,-200,0102000056190086,23.180,4636.000,0.00,4628.680,5.000,2.320,0.000,96633.060,10691,深圳Ａ股,深圳Ａ股,
20260325,09:46:09,300342,天银机电,卖出,-100,0105000016940352,47.200,4720.000,0.00,4712.640,5.000,2.360,0.000,92004.380,6015,深圳Ａ股,深圳Ａ股,
20260323,10:08:01,300342,天银机电,卖出,-100,0103000029862212,48.470,4847.000,100.00,4839.580,5.000,2.420,0.000,87291.740,7979,深圳Ａ股,深圳Ａ股,
20260318,14:39:30,688166,博瑞医药,卖出,-200,56749805,51.380,10276.000,0.00,10265.760,5.000,5.140,0.100,82449.080,20196,上海Ａ股,上海Ａ股,
